"","Pitch_Sequence_01","Pitch_Sequence_02","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"803","FB-L-I","FB-M-M",3354,2623,741,1060,658,164,547,168,112,0.344409660107335,1155.15
"804","FB-L-I","FB-M-O",5354,3949,904,1884,956,205,889,492,150,0.35388494583489,1894.7
"805","FB-L-I","SL-H-I",537,379,94,181,70,34,103,50,20,0.321694599627561,172.75
"806","FB-L-I","SL-H-M",397,278,64,120,69,25,96,21,9,0.285390428211587,113.3
"807","FB-L-I","SL-H-O",566,342,95,144,81,22,126,96,12,0.34469964664311,195.1
"808","FB-L-I","SL-L-I",3143,1933,456,906,474,97,773,382,96,0.357158765510659,1122.55
"809","FB-L-I","SL-L-M",1044,718,152,350,178,38,228,94,23,0.316331417624521,330.25
"810","FB-L-I","SL-L-O",860,583,136,273,138,36,186,88,25,0.317151162790698,272.75
"811","FB-L-I","SL-M-I",958,663,144,310,163,46,203,76,19,0.324060542797495,310.45
"812","FB-L-I","SL-M-M",531,397,104,172,98,23,113,19,20,0.34924670433145,185.45
"813","FB-L-I","SL-M-O",649,436,131,190,88,27,154,50,19,0.344375963020031,223.5
"814","FB-L-I",NA,5341,5127,1253,2366,1229,279,0,0,312,0.456431379891406,2437.8
"815","FB-L-M","CB-H-I",85,54,18,23,6,7,24,7,1,0.245882352941176,20.9
"816","FB-L-M","CB-H-M",191,126,39,50,35,2,56,7,4,0.230890052356021,44.1
"817","FB-L-M","CB-H-O",731,479,101,216,126,36,192,58,21,0.330027359781122,241.25
"818","FB-L-M","CB-L-I",1608,960,210,464,237,49,473,145,31,0.28818407960199,463.4
"819","FB-L-M","CB-L-M",925,592,130,292,144,26,271,60,29,0.319675675675676,295.7
"820","FB-L-M","CB-L-O",1013,684,141,378,138,27,250,74,24,0.285932872655479,289.65
"821","FB-L-M","CB-M-I",210,150,34,74,34,8,46,12,6,0.321666666666667,67.55
"822","FB-L-M","CB-M-M",294,197,42,105,44,6,89,6,11,0.291836734693878,85.8
"823","FB-L-M","CB-M-O",596,407,98,211,80,18,156,31,10,0.272818791946309,162.6
"824","FB-L-M","CH-H-I",71,50,9,24,14,3,15,5,0,0.309859154929577,22
"825","FB-L-M","CH-H-M",215,155,41,65,33,16,45,14,9,0.336279069767442,72.3
"826","FB-L-M","CH-H-O",1367,924,266,379,218,61,278,160,43,0.352267739575713,481.55
"827","FB-L-M","CH-L-I",1613,1080,245,521,253,61,321,202,34,0.35018598884067,564.85
"828","FB-L-M","CH-L-M",2165,1484,337,739,326,82,492,176,55,0.306096997690531,662.7
"829","FB-L-M","CH-L-O",3913,2746,596,1362,644,144,836,318,95,0.317377970866343,1241.9
"830","FB-L-M","CH-M-I",181,132,32,64,30,6,37,10,10,0.359116022099448,65
"831","FB-L-M","CH-M-M",488,371,115,138,88,30,88,28,26,0.384938524590164,187.85
"832","FB-L-M","CH-M-O",1705,1276,312,614,278,72,318,104,49,0.301554252199414,514.15
"833","FB-L-M","FB-H-I",2482,1687,420,688,396,183,568,180,71,0.301168412570508,747.5
"834","FB-L-M","FB-H-M",2095,1438,398,603,319,118,500,139,51,0.312243436754177,654.15
"835","FB-L-M","FB-H-O",5070,3378,896,1467,799,216,1117,555,126,0.326459566074951,1655.15
"836","FB-L-M","FB-L-I",4602,3141,759,1498,708,176,942,487,126,0.335093437635811,1542.1
"837","FB-L-M","FB-L-M",4003,2932,606,1502,691,133,734,324,93,0.332463152635523,1330.85
