"","Pitch_Sequence_01","Pitch_Sequence_02","Pitch_Sequence_03","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"610","CB-H-I","FB-M-M","FB-L-I",2,2,0,0,1,1,0,0,0,0,0
"611","CB-H-I","FB-M-M","FB-L-M",1,1,0,1,0,0,0,0,0,0,0
"612","CB-H-I","FB-M-M","FB-L-O",4,2,0,2,0,0,2,0,0,0.225,0.9
"613","CB-H-I","FB-M-M","FB-M-I",4,3,1,2,0,0,1,0,0,0,0
"614","CB-H-I","FB-M-M","FB-M-M",1,0,0,0,0,0,1,0,0,0,0
"615","CB-H-I","FB-M-M","FB-M-O",2,2,0,1,0,1,0,0,0,0.45,0.9
"616","CB-H-I","FB-M-M","SL-H-O",1,1,0,1,0,0,0,0,0,0,0
"617","CB-H-I","FB-M-M","SL-L-I",2,1,0,1,0,0,1,0,0,0,0
"618","CB-H-I","FB-M-M","SL-M-O",1,1,0,1,0,0,0,0,0,0.9,0.9
"619","CB-H-I","FB-M-M",NA,38,38,12,12,13,1,0,0,4,0.484210526315789,18.4
"620","CB-H-I","FB-M-O","CB-H-I",1,0,0,0,0,0,1,0,0,0,0
"621","CB-H-I","FB-M-O","CB-H-M",4,3,0,3,0,0,1,0,0,0,0
"622","CB-H-I","FB-M-O","CB-H-O",2,2,0,1,1,0,0,0,0,0.45,0.9
"623","CB-H-I","FB-M-O","CB-L-I",11,8,1,3,2,2,3,0,0,0.245454545454545,2.7
"624","CB-H-I","FB-M-O","CB-L-M",4,2,0,1,0,1,2,0,0,0,0
"625","CB-H-I","FB-M-O","CB-L-O",5,3,1,1,1,0,2,0,0,0.43,2.15
"626","CB-H-I","FB-M-O","CB-M-I",4,3,1,0,1,1,1,0,1,0.725,2.9
"627","CB-H-I","FB-M-O","CB-M-M",3,2,0,1,0,1,1,0,0,0,0
"628","CB-H-I","FB-M-O","CB-M-O",4,4,2,1,1,0,0,0,0,0.225,0.9
"629","CB-H-I","FB-M-O","CH-H-M",1,0,0,0,0,0,1,0,0,0,0
"630","CB-H-I","FB-M-O","CH-H-O",5,3,1,2,0,0,0,2,0,0.28,1.4
"631","CB-H-I","FB-M-O","CH-L-I",2,2,1,1,0,0,0,0,0,0,0
"632","CB-H-I","FB-M-O","CH-L-M",4,1,0,1,0,0,1,2,0,0.35,1.4
"633","CB-H-I","FB-M-O","CH-L-O",8,3,2,1,0,0,4,1,0,0.0875,0.7
"634","CB-H-I","FB-M-O","CH-M-I",1,1,0,1,0,0,0,0,0,0,0
"635","CB-H-I","FB-M-O","CH-M-O",4,4,0,3,1,0,0,0,0,0.3125,1.25
"636","CB-H-I","FB-M-O","FB-H-I",10,8,1,2,4,1,2,0,0,0.395,3.95
"637","CB-H-I","FB-M-O","FB-H-M",5,3,2,1,0,0,1,1,0,0.14,0.7
"638","CB-H-I","FB-M-O","FB-H-O",15,8,3,4,1,0,5,2,1,0.346666666666667,5.2
"639","CB-H-I","FB-M-O","FB-L-I",7,5,2,2,1,0,0,2,0,0.328571428571429,2.3
"640","CB-H-I","FB-M-O","FB-L-M",4,3,1,2,0,0,1,0,0,0.45,1.8
"641","CB-H-I","FB-M-O","FB-L-O",6,3,0,1,1,1,2,1,0,0.116666666666667,0.7
"642","CB-H-I","FB-M-O","FB-M-I",7,2,0,1,1,0,2,3,0,0.3,2.1
"643","CB-H-I","FB-M-O","FB-M-M",3,2,0,1,1,0,1,0,0,0.3,0.9
"644","CB-H-I","FB-M-O","FB-M-O",15,9,2,4,2,1,5,1,0,0.0466666666666667,0.7
"645","CB-H-I","FB-M-O","SL-H-I",1,1,0,0,0,1,0,0,0,0,0
"646","CB-H-I","FB-M-O","SL-H-M",1,0,0,0,0,0,1,0,0,0,0
"647","CB-H-I","FB-M-O","SL-H-O",2,1,1,0,0,0,1,0,0,0.625,1.25
"648","CB-H-I","FB-M-O","SL-L-I",4,1,1,0,0,0,3,0,0,0,0
"649","CB-H-I","FB-M-O","SL-L-M",2,1,0,1,0,0,1,0,0,0,0
"650","CB-H-I","FB-M-O","SL-M-I",2,1,0,0,1,0,0,0,0,0.35,0.7
"651","CB-H-I","FB-M-O","SL-M-O",3,3,0,3,0,0,0,0,0,0.833333333333333,2.5
"652","CB-H-I","FB-M-O",NA,32,32,9,14,7,2,0,0,1,0.38125,12.2
"653","CB-H-I","SL-H-I","CB-H-M",2,2,0,1,1,0,0,0,0,0.625,1.25
"654","CB-H-I","SL-H-I","CB-H-O",3,2,1,1,0,0,0,1,1,1.2,3.6
